縣市,經度,緯度
新北市,4697177.878429813,8897494.661111327
高雄市,4523806.875369998,8756030.643599493
臺中市,4559177.335418812,8868092.80351548
臺北市,4669721.880888368,8923200.886912934
桃園縣,4602136.411454083,8926547.250277972
臺南市,4435516.371897684,8798639.842915047
彰化縣,4468838.377002215,8871970.496530287
屏東縣,4521900.311966264,8709936.112823669
雲林縣,4453977.1231109155,8853258.359705202
苗栗縣,4554324.5332339,8895294.602250813
嘉義縣,4497019.846409011,8809896.328349594
新竹縣,4587963.50691193,8906948.98124047
南投縣,4576096.264554709,8823008.644583652
宜蘭縣,4711511.2212567665,8870362.246592516
新竹市,4553003.17784187,8927214.845029177
基隆市,4700070.979429,8916660.902828874
花蓮縣,4654333.559691416,8790310.461910388
嘉義市,4470537.63676974,8820153.5529733
臺東縣,4591757.2192670405,8730756.596954785
金門縣,4031958.5884847404,9051902.669045918
澎湖縣,4299209.940515282,8885136.683836931
連江縣,4243824.189375149,9147321.43398212
